articleID,Name,Release Date,Price,Genre
248,Born This Way,6/14/2007,0.55,R&B
198,Part Of Me,6/14/2007,0.55,R&B
97,Sucker,6/14/2007,0.55,R&B
333,Patricia,6/14/2007,0.55,R&B
41,Always Be My Baby,6/14/2007,0.55,R&B
468,Crush,4/30/2018,0.95,Pop
346,Boyfriend,4/30/2018,0.95,Pop
31,Sorry,4/30/2018,0.95,Pop
79,Psycho,10/15/2015,0.95,Electronic
492,One Week,1/11/2017,0.95,Rap
209,Circus,1/11/2017,0.95,Rap
429,She Will,1/11/2017,0.95,Rap
33,Problem,3/25/2018,0.95,Rap
18,Don't Stop Believing,11/20/2012,0.55,Blues
21,Say You'll Be There,11/20/2012,0.55,Blues
57,Ray Of Light,11/20/2012,0.55,Blues
483,Burnin' Up,11/20/2012,0.55,Blues
314,Baby,5/5/2005,0,Pop
153,Don't Cry (remix),11/3/2019,0,Electronic
268,Please Me (remix),11/3/2019,0,Electronic
156,Runaway,2/20/2020,0.95,Pop
267,Right Above It,2/20/2020,0.95,Pop
316,Back To December,2/20/2020,0.95,Pop
374,Red,2/20/2020,0.95,Pop
110,Applause,3/4/2019,0.95,Pop
406,Summer Sixteen,3/4/2019,0.95,Pop
51,All By Myself,3/4/2019,0.95,Pop
54,Barbie Girl (remix),7/26/2015,0,Electronic
283,Strange Clouds,8/15/2015,0,Electronic
366,Begin Again,3/28/2016,0,Electronic
353,Deja Vu,2/10/1985,0.55,Rock
309,Paris,2/10/1985,0.55,Rock
236,Pray For Me,7/19/2004,0.55,Punk Rock
179,Better Now,7/19/2004,0.55,Punk Rock
271,Circles,7/19/2004,0.55,Punk Rock
158,Sunny Came Home,7/19/2004,0.55,Punk Rock
495,Speed Of Sound,7/19/2004,0.55,Punk Rock
96,Can't Be Tamed,7/19/2004,0.55,Punk Rock
292,Speak Now,11/15/2006,0.55,Punk Rock
187,Teenage Dream,11/15/2006,0.55,Punk Rock
125,Sugar,11/15/2006,0.55,Punk Rock
