lib_id,name,song_id
1,favs,25
1,favs,68
1,favs,252
1,favs,21
1,favs,0
1,favs,360
2,cool songs,125
2,cool songs,446
2,cool songs,87
2,cool songs,262
3,vibe,364
3,vibe,409
4,songs,451
4,songs,464
4,songs,262
4,songs,416
5,my songs,392
5,my songs,319
6,pl,86
6,pl,360
6,pl,441
6,pl,179
6,pl,416
7,my favorites,198
7,my favorites,339
8,my favs,409
8,my favs,364
9,favorites,219
9,favorites,246
10,love these songs,400
10,love these songs,319
10,love these songs,416
10,love these songs,212
10,love these songs,114
11,yeh,264
11,yeh,286
11,yeh,339
11,yeh,319
12,cool songs,246
12,cool songs,416
13,My Favorites,497
13,My Favorites,364
14,playlist 33,147
14,playlist 33,482
15,nice songs,114
15,nice songs,180
15,nice songs,482
16,melody,70
16,melody,363
16,melody,420
16,melody,11
16,melody,482
16,melody,299
16,melody,217
17,beats,88
17,beats,60
17,beats,431
17,beats,7
17,beats,229
17,beats,289
17,beats,217
17,beats,180
