lib_id,article_id
1,25
1,68
1,252
1,21
1,0
1,62
1,360
2,125
2,446
2,87
2,278
2,262
3,364
3,253
3,409
4,451
4,464
4,262
4,357
4,416
5,392
5,71
5,319
6,86
6,360
6,441
6,179
6,351
6,416
7,198
7,202
7,339
8,409
8,417
8,364
9,219
9,74
9,246
10,400
10,319
10,416
10,212
10,327
10,114
11,264
11,286
11,339
11,204
11,319
12,246
12,248
12,416
13,497
13,112
13,364
14,147
14,193
14,482
15,114
15,180
15,247
15,482
16,70
16,363
16,420
16,11
16,482
16,299
16,24
16,217
17,88
17,60
17,431
17,7
17,229
17,289
17,217
17,166
17,180
