articleID,Type
62,LP
278,Compilation
253,Single
357,LP
71,Single
351,LP
202,Single
417,DJ Mix
74,DJ Mix
327,LP
204,EP
248,DJ Mix
112,DJ Mix
193,DJ Mix
247,EP
24,LP
166,LP
391,Single
458,LP
189,LP
375,Single
483,Single
117,EP
72,LP
160,LP
254,Single
5,Single
142,EP
424,Mixtape
20,EP
171,EP
348,LP
149,LP
274,EP
66,Single
76,LP
177,Single
73,LP
90,LP
3,Single
205,Single
116,Single
37,Single
345,Single
406,Single
242,Single
316,Single
337,Single
226,Single
197,EP
97,LP
128,DJ Mix
251,DJ Mix
96,DJ Mix
106,Single
250,Single
188,EP
