article_id,ISA_album,title,genre,release_date,price
25,0,Born This Way,R&B,2007-06-14,0.55
68,0,Part Of Me,R&B,2007-06-14,0.55
252,0,Sucker,R&B,2007-06-14,0.55
21,0,Patricia,R&B,2007-06-14,0.55
0,0,Always Be My Baby,R&B,2007-06-14,0.55
62,1,Part Of Me,R&B,2007-06-14,2.75
125,0,Crush,Pop,2018-04-30,0.95
446,0,Boyfriend,Pop,2018-04-30,0.95
87,0,Sorry,Pop,2018-04-30,0.95
278,1,Best of Emma Della,Pop,2018-04-30,2.85
364,0,Psycho,Electronic,2015-10-15,0.95
253,1,Psycho(Single),Electronic,2015-10-15,0.95
451,0,One Week,Rap,2017-01-11,0.95
464,0,Circus,Rap,2017-01-11,0.95
262,0,She Will,Rap,2017-01-11,0.95
357,1,LIL,Rap,2017-01-11,2.85
392,0,Problem,Rap,2018-03-25,0.95
71,1,Problem (Single),Rap,2018-03-25,0.95
86,0,Don t Stop Believing,Blues,2012-11-20,0.55
360,0,Say You ll Be There,Blues,2012-11-20,0.55
441,0,Ray Of Light,Blues,2012-11-20,0.55
179,0,Burnin  Up,Blues,2012-11-20,0.55
351,1,Don t Stop Believing,Blues,2012-11-20,2.2
198,0,Baby,Pop,2005-05-05,0
202,1,Baby(Single),Pop,2005-05-05,0
409,0,Don t Cry (remix),Electronic,2019-11-03,0
417,1,Don t Cry (remix),Electronic,2019-11-03,0
219,0,Please Me (remix),Electronic,2018-11-03,0
74,1,Please Me (remix),Electronic,2018-11-03,0
400,0,Runaway,Pop,2020-02-20,0.95
319,0,Right Above It,Pop,2020-02-20,0.95
416,0,Back To December,Pop,2020-02-20,0.95
212,0,Red,Pop,2020-02-20,0.95
327,1,Runaway,Pop,2020-02-20,3.8
264,0,Applause,Pop,2019-03-04,0.95
286,0,Summer Sixteen,Pop,2019-03-04,0.55
339,0,All By Myself,Pop,2019-03-04,0.55
204,1,Applause (EP),Pop,2019-03-04,2.05
246,0,Barbie Girl (remix),Electronic,2015-07-26,0
248,1,Barbie Girl (remix),Electronic,2015-07-26,0
497,0,Strange Clouds,Electronic,2015-08-15,0
112,1,Strange Clouds,Electronic,2015-08-15,0
147,0,Begin Again,Electronic,2016-03-28,0
193,1,Begin Again,Electronic,2016-03-28,0
114,0,Deja Vu,Rock,1985-02-10,0.55
180,0,Paris,Rock,1985-02-10,0.55
247,1,Deja Vu,Rock,1985-02-10,1.1
70,0,Pray For Me,Punk Rock,2004-07-19,0.55
363,0,Better Now,Punk Rock,2004-07-19,0.55
420,0,Circles,Punk Rock,2004-07-19,0.55
11,0,Sunny Came Home,Punk Rock,2004-07-19,0.55
482,0,Speed Of Sound,Punk Rock,2004-07-19,0.55
299,0,Can t Be Tamed,Punk Rock,2004-07-19,0.55
24,1,Circles,Punk Rock,2004-07-19,3.3
88,0,Speak Now,Punk Rock,2006-11-15,0.55
60,0,Teenage Dream,Punk Rock,2006-11-15,0.55
431,0,Sugar,Punk Rock,2006-11-15,0.55
7,0,Piece By Piece,Punk Rock,2006-11-15,0.55
229,0,Stargazing,Punk Rock,2006-11-15,0.55
289,0,Take What You Want,Punk Rock,2006-11-15,0.55
217,0,Change The World,Punk Rock,2006-11-15,0.55
166,1,Speak Now,Punk Rock,2006-11-15,3.85
129,0,So What,Pop,2011-01-16,0.55
391,1,So What (Single),Pop,2011-01-16,0.55
390,0,Bad Romance,Pop,2012-10-29,0.95
330,0,Take Care,Pop,2012-10-29,0.95
132,0,Starships,Pop,2012-10-29,0.95
383,0,Closer,Pop,2012-10-29,0.95
194,0,Say Something,Pop,2012-10-29,0.95
458,1,Say Something,Pop,2012-10-29,4.75
99,0,Don t Matter To Me,Indie Pop,2016-09-24,0.95
159,0,Come With Me,Indie Pop,2016-09-24,0.95
61,0,Change,Indie Pop,2016-09-24,0.95
470,0,Skyscraper,Indie Pop,2016-09-24,0.95
94,0,Perfect,Indie Pop,2016-09-24,0.95
472,0,Dangerous Woman,Indie Pop,2016-09-24,0.95
189,1,Perfect,Indie Pop,2016-09-24,5.7
181,0,Real Love,Independent,2013-05-17,0.55
375,1,Real Love,Independent,2013-05-17,0.55
174,0,A Little Bit Longer,Independent,2013-07-15,0.55
483,1,A Little Bit Longer,Independent,2013-07-15,0.55
295,0,So Good,Independent,2014-10-10,0.95
317,0,Diana,Independent,2014-10-10,0.55
117,1,So Good (EP),Independent,2014-10-10,1.5
150,0,Dirt,Rap,1998-03-17,0.55
361,0,Sorry,Rap,1998-03-17,0.55
436,0,Rise,Rap,1998-03-17,0.55
398,0,Paranoid,Rap,1998-03-17,0.55
263,0,All Mine,Rap,1998-03-17,0.55
72,1,All Mine,Rap,1998-03-17,2.75
196,0,Bandit,R&B,2001-02-05,0.55
32,0,Blinding Lights,R&B,2001-02-05,0.55
168,0,Diggin  On You,R&B,2001-02-05,0.55
325,0,Somewhere,R&B,2001-02-05,0.55
300,0,Ring The Alarm,R&B,2001-02-05,0.55
160,1,Diggin ,R&B,2001-02-05,2.75
2,0,Airplanes,R&B,2002-05-10,0.95
254,1,Airplanes (Single),R&B,2002-05-10,0.95
341,0,Runaway,R&B,2003-07-11,0.95
5,1,Runaway (Single),R&B,2003-07-11,0.95
69,0,Take A Little Ride,Independent,2015-11-11,0
31,0,Burnin  It Down,Independent,2015-11-11,0
82,0,Bitter Sweet Symphony,Independent,2015-11-11,0
75,0,Come And Get With Me,Independent,2015-11-11,0
142,1,Cover Album pt.1,Independent,2015-11-11,0
14,0,Ours,Hip-Hop/Rap,1999-10-13,0.55
119,0,Die Young,Hip-Hop/Rap,1999-10-13,0.55
369,0,State Of Grace,Hip-Hop/Rap,1999-10-13,0.55
439,0,Do What U Want,Hip-Hop/Rap,1999-10-13,0.55
424,1,State Of Grace,Hip-Hop/Rap,1999-10-13,2.2
350,0,Steal My Girl,Rap,2001-02-19,0.55
310,0,Rap Devil,Rap,2001-02-19,0.95
20,1,Rap Devil (EP),Rap,2001-02-19,1.5
450,0,That s The Way Love Goes,Jazz,2007-08-12,0
187,0,Save Tonight,Jazz,2007-08-12,0
115,0,All For You,Jazz,2007-08-12,0
474,0,To The Limit,Jazz,2007-08-12,0
257,0,Love Betty,Jazz,2007-08-12,0
171,1,Jazzy Breezy Beautiful,Jazz,2007-08-12,0
261,0,Photograph,R&B,2019-01-04,0.95
481,0,Rich & Sad,R&B,2019-01-04,0.95
93,0,Dedicate,R&B,2019-01-04,0.95
373,0,Rescue Me,R&B,2019-01-04,0.95
475,0,Again,R&B,2019-01-04,0.95
348,1,Again,R&B,2019-01-04,4.75
33,0,All My Life,Soundtrack,2004-06-06,0.95
167,0,Sing,Soundtrack,2004-06-06,0.95
26,0,Break Free,Soundtrack,2004-06-06,0.95
145,0,All Day,Soundtrack,2004-06-06,0.95
149,1,Sing All Day,Soundtrack,2004-06-06,3.8
240,0,Perfect Illusion,Pop,1996-04-12,0.55
141,0,Spoil My Night,Pop,1996-04-12,0.55
359,0,One Summer Night,Pop,1996-04-12,0.55
139,0,Pushin  Me Away,Pop,1996-04-12,0.55
274,1,One Summer Night,Pop,1996-04-12,2.2
215,0,One Less Lonely Girl,Pop,1995-02-28,0.55
66,1,One Less Lonely Girl (Single),Pop,1995-02-28,0.55
