article_id,title,genre,release_date,price
25,Born This Way,R&B,2007-06-14,0.55
68,Part Of Me,R&B,2007-06-14,0.55
252,Sucker,R&B,2007-06-14,0.55
21,Patricia,R&B,2007-06-14,0.55
0,Always Be My Baby,R&B,2007-06-14,0.55
62,Part Of Me,R&B,2007-06-14,2.75
125,Crush,Pop,2018-04-30,0.95
446,Boyfriend,Pop,2018-04-30,0.95
87,Sorry,Pop,2018-04-30,0.95
278,Best of Emma Della,Pop,2018-04-30,2.85
364,Psycho,Electronic,2015-10-15,0.95
253,Psycho(Single),Electronic,2015-10-15,0.95
451,One Week,Rap,2017-01-11,0.95
464,Circus,Rap,2017-01-11,0.95
262,She Will,Rap,2017-01-11,0.95
357,LIL,Rap,2017-01-11,2.85
392,Problem,Rap,2018-03-25,0.95
71,Problem (Single),Rap,2018-03-25,0.95
86,Don t Stop Believing,Blues,2012-11-20,0.55
360,Say You ll Be There,Blues,2012-11-20,0.55
441,Ray Of Light,Blues,2012-11-20,0.55
179,Burnin  Up,Blues,2012-11-20,0.55
351,Don t Stop Believing,Blues,2012-11-20,2.2
198,Baby,Pop,2005-05-05,0
202,Baby(Single),Pop,2005-05-05,0
409,Don t Cry (remix),Electronic,2019-11-03,0
417,Don t Cry (remix),Electronic,2019-11-03,0
219,Please Me (remix),Electronic,2018-11-03,0
74,Please Me (remix),Electronic,2018-11-03,0
400,Runaway,Pop,2020-02-20,0.95
319,Right Above It,Pop,2020-02-20,0.95
416,Back To December,Pop,2020-02-20,0.95
212,Red,Pop,2020-02-20,0.95
327,Runaway,Pop,2020-02-20,3.8
264,Applause,Pop,2019-03-04,0.95
286,Summer Sixteen,Pop,2019-03-04,0.55
339,All By Myself,Pop,2019-03-04,0.55
204,Applause (EP),Pop,2019-03-04,2.05
246,Barbie Girl (remix),Electronic,2015-07-26,0
248,Barbie Girl (remix),Electronic,2015-07-26,0
497,Strange Clouds,Electronic,2015-08-15,0
112,Strange Clouds,Electronic,2015-08-15,0
147,Begin Again,Electronic,2016-03-28,0
193,Begin Again,Electronic,2016-03-28,0
114,Deja Vu,Rock,1985-02-10,0.55
180,Paris,Rock,1985-02-10,0.55
247,Deja Vu,Rock,1985-02-10,1.1
70,Pray For Me,Punk Rock,2004-07-19,0.55
363,Better Now,Punk Rock,2004-07-19,0.55
420,Circles,Punk Rock,2004-07-19,0.55
11,Sunny Came Home,Punk Rock,2004-07-19,0.55
482,Speed Of Sound,Punk Rock,2004-07-19,0.55
299,Can t Be Tamed,Punk Rock,2004-07-19,0.55
24,Circles,Punk Rock,2004-07-19,3.3
88,Speak Now,Punk Rock,2006-11-15,0.55
60,Teenage Dream,Punk Rock,2006-11-15,0.55
431,Sugar,Punk Rock,2006-11-15,0.55
7,Piece By Piece,Punk Rock,2006-11-15,0.55
229,Stargazing,Punk Rock,2006-11-15,0.55
289,Take What You Want,Punk Rock,2006-11-15,0.55
217,Change The World,Punk Rock,2006-11-15,0.55
166,Speak Now,Punk Rock,2006-11-15,3.85
129,So What,Pop,2011-01-16,0.55
391,So What (Single),Pop,2011-01-16,0.55
390,Bad Romance,Pop,2012-10-29,0.95
330,Take Care,Pop,2012-10-29,0.95
132,Starships,Pop,2012-10-29,0.95
383,Closer,Pop,2012-10-29,0.95
194,Say Something,Pop,2012-10-29,0.95
458,Say Something,Pop,2012-10-29,4.75
99,Don t Matter To Me,Indie Pop,2016-09-24,0.95
159,Come With Me,Indie Pop,2016-09-24,0.95
61,Change,Indie Pop,2016-09-24,0.95
470,Skyscraper,Indie Pop,2016-09-24,0.95
94,Perfect,Indie Pop,2016-09-24,0.95
472,Dangerous Woman,Indie Pop,2016-09-24,0.95
189,Perfect,Indie Pop,2016-09-24,5.7
181,Real Love,Independent,2013-05-17,0.55
375,Real Love,Independent,2013-05-17,0.55
174,A Little Bit Longer,Independent,2013-07-15,0.55
483,A Little Bit Longer,Independent,2013-07-15,0.55
295,So Good,Independent,2014-10-10,0.95
317,Diana,Independent,2014-10-10,0.55
117,So Good (EP),Independent,2014-10-10,1.5
150,Dirt,Rap,1998-03-17,0.55
361,Sorry,Rap,1998-03-17,0.55
436,Rise,Rap,1998-03-17,0.55
398,Paranoid,Rap,1998-03-17,0.55
263,All Mine,Rap,1998-03-17,0.55
72,All Mine,Rap,1998-03-17,2.75
196,Bandit,R&B,2001-02-05,0.55
32,Blinding Lights,R&B,2001-02-05,0.55
168,Diggin  On You,R&B,2001-02-05,0.55
325,Somewhere,R&B,2001-02-05,0.55
300,Ring The Alarm,R&B,2001-02-05,0.55
160,Diggin ,R&B,2001-02-05,2.75
2,Airplanes,R&B,2002-05-10,0.95
254,Airplanes (Single),R&B,2002-05-10,0.95
341,Runaway,R&B,2003-07-11,0.95
5,Runaway (Single),R&B,2003-07-11,0.95
69,Take A Little Ride,Independent,2015-11-11,0
31,Burnin  It Down,Independent,2015-11-11,0
82,Bitter Sweet Symphony,Independent,2015-11-11,0
75,Come And Get With Me,Independent,2015-11-11,0
142,Cover Album pt.1,Independent,2015-11-11,0
14,Ours,Hip-Hop/Rap,1999-10-13,0.55
119,Die Young,Hip-Hop/Rap,1999-10-13,0.55
369,State Of Grace,Hip-Hop/Rap,1999-10-13,0.55
439,Do What U Want,Hip-Hop/Rap,1999-10-13,0.55
424,State Of Grace,Hip-Hop/Rap,1999-10-13,2.2
350,Steal My Girl,Rap,2001-02-19,0.55
310,Rap Devil,Rap,2001-02-19,0.95
20,Rap Devil (EP),Rap,2001-02-19,1.5
450,That s The Way Love Goes,Jazz,2007-08-12,0
187,Save Tonight,Jazz,2007-08-12,0
115,All For You,Jazz,2007-08-12,0
474,To The Limit,Jazz,2007-08-12,0
257,Love Betty,Jazz,2007-08-12,0
171,Jazzy Breezy Beautiful,Jazz,2007-08-12,0
261,Photograph,R&B,2019-01-04,0.95
481,Rich & Sad,R&B,2019-01-04,0.95
93,Dedicate,R&B,2019-01-04,0.95
373,Rescue Me,R&B,2019-01-04,0.95
475,Again,R&B,2019-01-04,0.95
348,Again,R&B,2019-01-04,4.75
33,All My Life,Soundtrack,2004-06-06,0.95
167,Sing,Soundtrack,2004-06-06,0.95
26,Break Free,Soundtrack,2004-06-06,0.95
145,All Day,Soundtrack,2004-06-06,0.95
149,Sing All Day,Soundtrack,2004-06-06,3.8
240,Perfect Illusion,Pop,1996-04-12,0.55
141,Spoil My Night,Pop,1996-04-12,0.55
359,One Summer Night,Pop,1996-04-12,0.55
139,Pushin  Me Away,Pop,1996-04-12,0.55
274,One Summer Night,Pop,1996-04-12,2.2
215,One Less Lonely Girl,Pop,1995-02-28,0.55
66,One Less Lonely Girl (Single),Pop,1995-02-28,0.55
277,Paradise,Rock,2009-04-25,0.55
287,Ronan,Rock,2009-04-25,0.55
102,Diamonds,Rock,2009-04-25,0.55
58,That s My Kind Of Night,Rock,2009-04-25,0.55
366,Say Something,Rock,2009-04-25,0.55
76,Ronan,Rock,2009-04-25,2.75
320,Amnesia,Rock,2011-05-17,0.55
177,Amnesia,Rock,2011-05-17,0.55
397,Show Me What You Got,Country,1984-06-19,0
457,Tell It To The Rain,Country,1984-06-19,0
335,Please Remember Me,Country,1984-06-19,0
442,Don t Bring Me Down,Country,1984-06-19,0
140,"That Sunday, That Summer",Country,1984-06-19,0
36,Thank The Lord For The Night Time,Country,1984-06-19,0
73,Tell It To The Rain,Country,1984-06-19,0
421,Stay In My Corner,Rock,2005-07-24,0.55
296,Sweet Blindness,Rock,2005-07-24,0.55
230,Share Your Love With Me,Rock,2005-07-24,0.55
311,Something Better To Do,Rock,2005-07-24,0.55
452,In & Out,Rock,2005-07-24,0.55
90,Sweet Blindness,Rock,2005-07-24,2.75
127,Do I Do,Soul,2017-07-27,0.95
3,Do I Do,Soul,2017-07-27,0.95
279,Smooth Criminal,Soul,2016-10-03,0.95
205,Smooth Criminal,Soul,2016-10-03,0.95
255,One,Soul,2015-09-15,0.95
116,One,Soul,2015-09-15,0.95
387,Rock And Roll Dreams Come Through,Rock,2019-05-05,0
37,Rock And Roll Dreams Come Through,Rock,2019-05-05,0
496,Please Love Me Forever,Rock,2018-06-06,0
345,Please Love Me Forever,Rock,2018-06-06,0
435,Ain t Too Proud To Beg,Independent,2020-01-05,0.55
406,Ain t Too Proud To Beg,Independent,2020-01-05,0.55
123,Over Under Sideways Down,Independent,2019-11-28,0.55
242,Over Under Sideways Down,Independent,2019-11-28,0
184,Reflections Of My Life,Independent,2019-03-16,0
316,Reflections Of My Life,Independent,2019-03-16,0
349,Can t Stop Dancin ,Independent,2018-08-15,0
337,Can t Stop Dancin ,Independent,2018-08-15,0
81,American Storm,Punk Rock,2003-10-11,0.55
413,Didn t I (Blow Your Mind),Punk Rock,2003-10-11,0.55
265,Don t Cry,Punk Rock,2003-10-11,0.55
427,People Everyday,Punk Rock,2003-10-11,0.55
495,Cherry Pie,Punk Rock,2003-10-11,0.55
226,American Storm,Punk Rock,2003-10-11,2.75
355,A Swingin  Safari,Independent,1998-03-16,0
136,Dear Lonely Hearts,Independent,1998-03-16,0
162,Our Winter Love,Independent,1998-03-16,0
197,A,Independent,1998-03-16,0
395,Red Roses For A Blue Lady,Country,2009-10-19,0.55
284,Sing A Song,Country,2009-10-19,0.55
354,Ready To Take A Chance Again,Country,2009-10-19,0.55
267,Shine A Little Love,Country,2009-10-19,0.55
272,Can t Cry Anymore,Country,2009-10-19,0.55
97,Shine A Little Love,Country,2009-10-19,2.75
336,Summer Nights,Electro Pop,2011-04-27,0
128,Summer Nights,Electro Pop,2011-04-27,0
190,Stranger In My House,Electro Pop,2015-05-20,0
251,Stranger In My House,Electro Pop,2015-05-20,0
122,"Do What You Want, Be What You Are",Electro Pop,2017-03-20,0.95
96,"Do What You Want, Be What You Are",Electro Pop,2017-03-20,0.95
233,A Penny For Your Thoughts,Folk,2013-01-15,0
106,A Penny For Your Thoughts,Folk,2013-01-15,0
221,Burning Heart,Folk,2014-05-12,0.55
250,Burning Heart,Folk,2014-05-12,0.55
303,Don t Happen Twice,Folk,2013-04-10,0.55
222,Sideways,Folk,2013-04-10,0.55
433,Come With Me Now,Folk,2013-04-10,0.55
188,Sideways,Folk,2013-04-10,1.65
