Song,Artist,Album,Genre,Release Date,Price,articleID
Born This Way,Zaryah,Part of Me,R&B,2007-06-14,0.55,248
Part Of Me,Zaryah,Part of Me,R&B,2007-06-14,0.55,198
Sucker,Zaryah,Part of Me,R&B,2007-06-14,0.55,97
Patricia,Zaryah,Part of Me,R&B,2007-06-14,0.55,333
Always Be My Baby,Zaryah,Part of Me,R&B,2007-06-14,0.55,41
Crush,Emma Della,Best of Emma Della,Pop,2018-04-30,0.95,468
Boyfriend,Emma Della,Best of Emma Della,Pop,2018-04-30,0.95,346
Sorry,Emma Della,Best of Emma Della,Pop,2018-04-30,0.95,31
Psycho,NMN,Psycho (Single),Electronic,2015-10-15,0.95,79
One Week,Lil Diggity,LIL,Rap,2017-01-11,0.95,492
Circus,Lil Diggity,LIL,Rap,2017-01-11,0.95,209
She Will,Lil Diggity,LIL,Rap,2017-01-11,0.95,429
Problem,Lil Diggity,Problem (Single),Rap,2018-03-25,0.95,33
Don't Stop Believing,Alec Wood,Don't Stop Believing,Blues,2012-11-20,0.55,18
Say You'll Be There,Alec Wood,Don't Stop Believing,Blues,2012-11-20,0.55,21
Ray Of Light,Alec Wood,Don't Stop Believing,Blues,2012-11-20,0.55,57
Burnin' Up,Alec Wood,Don't Stop Believing,Blues,2012-11-20,0.55,483
Baby,Justin B,Baby (Single),Pop,2005-05-05,0,314
Don't Cry (remix),Dutch Dabber,Don't Cry (remix),Electronic,2019-11-03,0,153
Please Me (remix),Dutch Dabber,Please Me (remix),Electronic,2019-11-03,0,268
Runaway,Aya Nova,Runaway,Pop,2020-02-20,0.95,156
Right Above It,Aya Nova,Runaway,Pop,2020-02-20,0.95,267
Back To December,Aya Nova,Runaway,Pop,2020-02-20,0.95,316
Red,Aya Nova,Runaway,Pop,2020-02-20,0.95,374
Applause,Aya Nova,Applause (EP),Pop,2019-03-04,0.95,110
Summer Sixteen,Aya Nova,Applause (EP),Pop,2019-03-04,0.95,406
All By Myself,Aya Nova,Applause (EP),Pop,2019-03-04,0.95,51
Barbie Girl (remix),Purpleplum,Barbie Girl (remix),Electronic,2015-07-26,0,54
Strange Clouds,Purpleplum,Strange Clouds (Single),Electronic,2015-08-15,0,283
Begin Again,Purpleplum,Begin Again (Single),Electronic,2016-03-28,0,366
Deja Vu,Francois Delacour,Deja Vu,Rock,1985-02-10,0.55,353
Paris,Francois Delacour,Deja Vu,Rock,1985-02-10,0.55,309
Pray For Me,How About Now,Circles,Punk Rock,2004-07-19,0.55,236
Better Now,How About Now,Circles,Punk Rock,2004-07-19,0.55,179
Circles,How About Now,Circles,Punk Rock,2004-07-19,0.55,271
Sunny Came Home,How About Now,Circles,Punk Rock,2004-07-19,0.55,158
Speed Of Sound,How About Now,Circles,Punk Rock,2004-07-19,0.55,495
Can't Be Tamed,How About Now,Circles,Punk Rock,2004-07-19,0.55,96
Speak Now,How About Now,Speak Now,Punk Rock,2006-11-15,0.55,292
Teenage Dream,How About Now,Speak Now,Punk Rock,2006-11-15,0.55,187
Sugar,How About Now,Speak Now,Punk Rock,2006-11-15,0.55,125
Piece By Piece,How About Now,Speak Now,Punk Rock,2006-11-15,0.55,465
Stargazing,How About Now,Speak Now,Punk Rock,2006-11-15,0.55,234
Take What You Want,How About Now,Speak Now,Punk Rock,2006-11-15,0.55,372
Change The World,How About Now,Speak Now,Punk Rock,2006-11-15,0.55,480
So What,Isiah Deville,So What (Single),Pop,2011-01-16,0.55,299
Bad Romance,Isiah Deville,Say Something,Pop,2012-10-29,0.95,487
Take Care,Isiah Deville,Say Something,Pop,2012-10-29,0.95,387
Starships,Isiah Deville,Say Something,Pop,2012-10-29,0.95,323
Closer,Isiah Deville,Say Something,Pop,2012-10-29,0.95,368
Say Something,Isiah Deville,Say Something,Pop,2012-10-29,0.95,371
Don't Matter To Me,LEIMA,Perfect,Indie Pop,2016-09-24,0.95,55
Come With Me,LEIMA,Perfect,Indie Pop,2016-09-24,0.95,186
Change,LEIMA,Perfect,Indie Pop,2016-09-24,0.95,85
Skyscraper,LEIMA,Perfect,Indie Pop,2016-09-24,0.95,196
Perfect,LEIMA,Perfect,Indie Pop,2016-09-24,0.95,428
Dangerous Woman,LEIMA,Perfect,Indie Pop,2016-09-24,0.95,82
Real Love,The Lilies,Real Love,Independent,2013-05-17,0.55,160
A Little Bit Longer,The Lilies,A Little Bit Longer,Independent,2013-07-15,0.55,435
So Good,The Lilies,So Good (EP),Independent,2014-10-10,0.95,80
Diana,The Lilies,So Good (EP),Independent,2014-10-10,0.95,255
Dirt,KM Kid,All Mine,Rap,1998-03-17,0.55,142
Sorry,KM Kid,All Mine,Rap,1998-03-17,0.55,364
Rise,KM Kid,All Mine,Rap,1998-03-17,0.55,359
Paranoid,KM Kid,All Mine,Rap,1998-03-17,0.55,148
All Mine,KM Kid,All Mine,Rap,1998-03-17,0.55,19
Bandit,The Fireman,Diggin',R&B,2001-02-05,0.55,63
Blinding Lights,The Fireman,Diggin',R&B,2001-02-05,0.55,45
Diggin' On You,The Fireman,Diggin',R&B,2001-02-05,0.55,141
Somewhere,The Fireman,Diggin',R&B,2001-02-05,0.55,172
Ring The Alarm,The Fireman,Diggin',R&B,2001-02-05,0.55,467
Airplanes,The Fireman,Airplanes (Single),R&B,2002-05-10,0.95,334
Runaway,The Fireman,Runaway (Single),R&B,2003-07-11,0.95,329
Take A Little Ride,Michael James,Cover Album pt.1,Independent,2015-11-11,0,202
Burnin' It Down,Michael James,Cover Album pt.1,Independent,2015-11-11,0,302
Bitter Sweet Symphony,Michael James,Cover Album pt.1,Independent,2015-11-11,0,275
Come And Get With Me,Michael James,Cover Album pt.1,Independent,2015-11-11,0,245
Ours,Chitty Bang,State of Grace,Hip-Hop/Rap,1999-10-13,0.55,263
Die Young,Chitty Bang,State of Grace,Hip-Hop/Rap,1999-10-13,0.55,122
State Of Grace,Chitty Bang,State of Grace,Hip-Hop/Rap,1999-10-13,0.55,62
Do What U Want,Chitty Bang,State of Grace,Hip-Hop/Rap,1999-10-13,0.55,338
Steal My Girl,Chitty Bang,Rap Devil (EP),Hip-Hop/Rap,2001-02-19,0.95,252
Rap Devil,Chitty Bang,Rap Devil (EP),Hip-Hop/Rap,2001-02-19,0.95,287
That's The Way Love Goes,Lara O'Mara,Jazzy Breezy Beautiful,Jazz,2007-08-12,0,370
Save Tonight,Lara O'Mara,Jazzy Breezy Beautiful,Jazz,2007-08-12,0,321
All For You,Lara O'Mara,Jazzy Breezy Beautiful,Jazz,2007-08-12,0,235
To The Limit,Lara O'Mara,Jazzy Breezy Beautiful,Jazz,2007-08-12,0,95
Love Betty,Lara O'Mara,Jazzy Breezy Beautiful,Jazz,2007-08-12,0,20
Photograph,JP Edwards,Again,R&B,2019-01-04,0.95,412
Rich & Sad,JP Edwards,Again,R&B,2019-01-04,0.95,52
Dedicate,JP Edwards,Again,R&B,2019-01-04,0.95,410
Rescue Me,JP Edwards,Again,R&B,2019-01-04,0.95,5
Again,JP Edwards,Again,R&B,2019-01-04,0.95,257
All My Life,Alexandre Millet,Sing All Day (Soundtrack),Soundtrack,2004-06-06,0.95,322
Sing,Alexandre Millet,Sing All Day (Soundtrack),Soundtrack,2004-06-06,0.95,86
Break Free,Alexandre Millet,Sing All Day (Soundtrack),Soundtrack,2004-06-06,0.95,65
All Day,Alexandre Millet,Sing All Day (Soundtrack),Soundtrack,2004-06-06,0.95,437
Perfect Illusion,The Sunny Boys,One Summer Night,Pop,1996-04-12,0.55,128
Spoil My Night,The Sunny Boys,One Summer Night,Pop,1996-04-12,0.55,75
One Summer Night,The Sunny Boys,One Summer Night,Pop,1996-04-12,0.55,107
Pushin' Me Away,The Sunny Boys,One Summer Night,Pop,1996-04-12,0.55,381
