articleID,Duration
25,3:23
68,3:25
252,5:42
21,3:42
0,3:29
125,1:24
446,0:38
87,0:18
364,4:14
451,4:34
464,4:28
262,1:48
392,4:57
86,3:32
360,0:34
441,5:40
179,4:57
198,3:54
409,4:57
219,3:28
400,0:35
319,3:57
416,2:26
212,3:48
264,3:33
286,4:19
339,5:57
246,0:28
497,2:12
147,5:13
114,5:48
180,0:32
70,2:33
363,2:34
420,3:44
11,1:52
482,4:50
299,4:45
88,1:16
60,1:52
431,0:29
7,0:57
229,2:54
289,3:46
217,5:35
129,3:16
390,3:33
330,4:36
132,1:38
383,3:26
194,5:40
99,5:44
159,1:24
61,4:55
470,0:13
94,1:53
472,3:21
181,0:40
174,3:50
295,4:33
317,4:32
150,4:27
361,1:12
436,4:24
398,1:13
263,2:19
196,2:58
32,4:22
168,1:55
325,3:24
300,1:33
2,2:14
341,4:46
69,1:16
31,3:43
82,1:41
75,5:21
14,2:56
119,1:39
369,3:34
439,5:55
350,5:36
310,4:33
450,3:59
187,5:15
115,5:40
474,5:44
257,0:22
261,3:35
481,1:25
93,2:28
373,0:55
475,4:13
33,4:44
167,1:42
26,4:23
145,0:55
240,0:51
141,2:54
359,0:11
139,0:48
215,4:22
277,0:13
287,0:48
102,1:34
58,1:41
366,3:43
320,2:27
397,4:25
457,0:52
335,2:10
442,3:51
140,1:48
36,4:14
421,5:53
296,2:28
230,0:48
311,0:29
452,3:25
127,4:29
279,0:55
255,1:44
387,0:44
496,3:35
435,4:55
123,1:23
184,5:17
349,2:45
81,5:33
413,2:28
265,2:18
427,4:15
495,3:29
355,4:27
136,2:14
162,5:44
395,1:57
284,4:27
354,0:30
267,1:18
272,2:58
336,5:20
190,3:31
122,5:47
233,1:58
221,5:46
303,3:59
222,1:57
433,3:50
